timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726018582292,36,HTTP Request,200,OK,Thread Group 1-1,text,true,,2516,141,1,1,http://localhost:3000/,34,0,12
1726018582330,140,HTTP Request/categories_backend,200,OK,Thread Group 1-1,text,true,,400,150,1,1,http://localhost:6060/api/v1/category/get-category,140,0,0
1726018582471,34,HTTP Request/product_backend,200,OK,Thread Group 1-1,text,true,,336,148,1,1,http://localhost:6060/api/v1/product/get-product,34,0,0
1726018582506,17,HTTP Request/register,200,OK,Thread Group 1-1,text,true,,2516,294,1,1,http://localhost:3000/register,17,0,0
1726018582524,5,HTTP Request/categories,200,OK,Thread Group 1-1,text,true,,2516,296,1,1,http://localhost:3000/categories,5,0,0
1726018582529,3,HTTP Request/cart,200,OK,Thread Group 1-1,text,true,,2516,290,1,1,http://localhost:3000/cart,3,0,0
1726018582532,3,HTTP Request/login,200,OK,Thread Group 1-1,text,true,,2516,291,1,1,http://localhost:3000/login,3,0,0
1726018582536,3,HTTP Request,200,OK,Thread Group 1-1,text,true,,2516,141,1,1,http://localhost:3000/,3,0,0
1726018582539,8,HTTP Request/categories_backend,200,OK,Thread Group 1-1,text,true,,400,150,1,1,http://localhost:6060/api/v1/category/get-category,8,0,0
1726018582548,8,HTTP Request/product_backend,200,OK,Thread Group 1-1,text,true,,336,148,1,1,http://localhost:6060/api/v1/product/get-product,8,0,0
1726018582557,1,HTTP Request/register,200,OK,Thread Group 1-1,text,true,,2516,294,1,1,http://localhost:3000/register,1,0,0
1726018582558,9,HTTP Request/categories,200,OK,Thread Group 1-1,text,true,,2516,296,1,1,http://localhost:3000/categories,9,0,0
1726018582567,2,HTTP Request/cart,200,OK,Thread Group 1-1,text,true,,2516,290,1,1,http://localhost:3000/cart,2,0,0
1726018582569,1,HTTP Request/login,200,OK,Thread Group 1-1,text,true,,2516,291,1,1,http://localhost:3000/login,1,0,0
1726018582570,1,HTTP Request,200,OK,Thread Group 1-1,text,true,,2516,141,1,1,http://localhost:3000/,1,0,0
1726018582571,8,HTTP Request/categories_backend,200,OK,Thread Group 1-1,text,true,,400,150,1,1,http://localhost:6060/api/v1/category/get-category,8,0,0
1726018582580,32,HTTP Request/product_backend,200,OK,Thread Group 1-1,text,true,,336,148,1,1,http://localhost:6060/api/v1/product/get-product,32,0,0
1726018582612,2,HTTP Request/register,200,OK,Thread Group 1-1,text,true,,2516,294,1,1,http://localhost:3000/register,2,0,0
1726018582615,1,HTTP Request/categories,200,OK,Thread Group 1-1,text,true,,2516,296,1,1,http://localhost:3000/categories,1,0,0
1726018582616,1,HTTP Request/cart,200,OK,Thread Group 1-1,text,true,,2516,290,1,1,http://localhost:3000/cart,1,0,0
1726018582618,1,HTTP Request/login,200,OK,Thread Group 1-1,text,true,,2516,291,1,1,http://localhost:3000/login,1,0,0
1726018582750,3,HTTP Request,200,OK,Thread Group 1-2,text,true,,2516,141,1,1,http://localhost:3000/,3,0,1
1726018582754,12,HTTP Request/categories_backend,200,OK,Thread Group 1-2,text,true,,400,150,1,1,http://localhost:6060/api/v1/category/get-category,12,0,1
1726018582767,10,HTTP Request/product_backend,200,OK,Thread Group 1-2,text,true,,336,148,1,1,http://localhost:6060/api/v1/product/get-product,10,0,0
1726018582777,2,HTTP Request/register,200,OK,Thread Group 1-2,text,true,,2516,294,1,1,http://localhost:3000/register,2,0,0
1726018582780,6,HTTP Request/categories,200,OK,Thread Group 1-2,text,true,,2516,296,1,1,http://localhost:3000/categories,6,0,0
1726018582787,1,HTTP Request/cart,200,OK,Thread Group 1-2,text,true,,2516,290,1,1,http://localhost:3000/cart,1,0,0
